NSW,VIC,SA,QLD,TAS
0.22785029411764704,0.2192022222222222,0.5338880399999999,0.7018332,0.1959266
0.2139026470588235,0.23420644444444447,0.54207216,0.7096252,0.2042256
0.20642470588235295,0.24030918518518513,0.57408636,0.66363,0.19418980000000002
0.19498817647058825,0.2530381481481482,0.57247584,0.6392553999999999,0.1899052
0.1852264117647059,0.26140359259259266,0.5626264,0.6393814,0.211755
0.18741,0.25467485185185185,0.54554536,0.6283418000000001,0.2487706
0.18301723529411765,0.2556335925925926,0.5276718799999999,0.6195628,0.2664214
0.16133552941176468,0.255406037037037,0.4924788799999999,0.6193626,0.2882264
0.1487064117647059,0.2747388518518519,0.43744004000000003,0.6146253999999999,0.3230518
0.1271588235294118,0.28389248148148144,0.4052450000000001,0.5976784,0.3343662
0.10758323529411766,0.27350377777777773,0.39314508000000004,0.5994982,0.3393316
0.09716335294117648,0.27830222222222223,0.39448848000000003,0.5684464,0.336644
0.07403788235294118,0.27598562962962964,0.39658708,0.5267850000000001,0.34546780000000005
0.059154647058823534,0.25964907407407406,0.3981771599999999,0.4455268,0.3614484
0.042394999999999995,0.2421658148148148,0.3857678,0.40503900000000004,0.35998260000000004
0.02993435294117647,0.2285961481481482,0.35557215999999997,0.36138000000000003,0.34741520000000004
0.024559,0.21865162962962967,0.32443715999999995,0.31167059999999996,0.35526479999999994
0.024943176470588233,0.22064433333333333,0.30505248,0.2842998,0.3395084
0.03501111764705883,0.20552307407407416,0.28717232000000004,0.26000840000000003,0.32398439999999995
0.036307470588235295,0.20076848148148146,0.27599104,0.2397498,0.3321278
0.046622647058823526,0.2123474444444445,0.25033271999999995,0.20130719999999996,0.34285760000000004
0.05259405882352942,0.23912944444444442,0.20725091999999998,0.2003298,0.3534834
0.03625752941176471,0.22261125925925923,0.15324775999999996,0.19625640000000003,0.36892
0.036523529411764705,0.20182833333333342,0.12324447999999999,0.1959666,0.368452
0.03273164705882353,0.18779088888888892,0.10809411999999999,0.20958480000000002,0.32083300000000003
0.030992352941176467,0.18716466666666667,0.101968,0.2370006,0.3284804
0.03224135294117648,0.20301177777777776,0.09885739999999998,0.26390440000000004,0.32668220000000003
0.04382176470588235,0.22548848148148148,0.09570947999999994,0.262148,0.32865700000000003
0.06551270588235295,0.24713659259259263,0.0901088,0.28184960000000003,0.329098
0.09169811764705885,0.28839629629629626,0.09150655999999997,0.30247779999999996,0.30167960000000005
0.11463717647058824,0.30410333333333334,0.09938492,0.29413659999999997,0.3086888
0.12019847058823532,0.3131358518518518,0.10112792000000001,0.3008788,0.309929
0.14119523529411765,0.28988277777777777,0.11386131999999999,0.3120748,0.2843308
0.14496452941176474,0.26893377777777777,0.12970064000000003,0.33999399999999996,0.27754260000000003
0.16040917647058822,0.2538787037037037,0.13146292000000004,0.40955439999999993,0.2914276
0.2526702941176471,0.2736094074074074,0.13981400000000002,0.4798578,0.2907832
0.3165075882352942,0.29071229629629625,0.15228628,0.552196,0.28501180000000004
0.43992082352941175,0.289049962962963,0.17188084,0.5457104,0.2803
0.4960358823529412,0.31141896296296306,0.19772744,0.5727056000000001,0.26473019999999997
0.5711245294117647,0.31940114814814813,0.23254884000000003,0.6224516,0.2658552
0.5758844705882352,0.2741818888888889,0.26953048,0.6805912000000001,0.31006619999999996
0.5311347647058823,0.23925318518518524,0.30846636000000005,0.7659536000000001,0.34306760000000003
0.4967578235294117,0.18938974074074075,0.33133804,0.7678824000000001,0.3615136
0.447295,0.15342985185185182,0.33859888,0.7502692,0.384869
